"@timestamp","@timestamp","_id",bytes,clientip,"geoip.country_code3",httpversion,request,response,"useragent.device","useragent.name","useragent.os",verb,"useragent.os_name"
"Jun 20, 2020 @ 14:45:32.000","Jun 20, 2020 @ 14:45:32.000",G1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:31.000","Jun 20, 2020 @ 14:45:31.000",Glbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:30.000","Jun 20, 2020 @ 14:45:30.000",GVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:29.000","Jun 20, 2020 @ 14:45:29.000",GFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:28.000","Jun 20, 2020 @ 14:45:28.000",F1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:27.000","Jun 20, 2020 @ 14:45:27.000",Flbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:26.000","Jun 20, 2020 @ 14:45:26.000",FVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:25.000","Jun 20, 2020 @ 14:45:25.000",FFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:24.000","Jun 20, 2020 @ 14:45:24.000",E1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:23.000","Jun 20, 2020 @ 14:45:23.000",Elbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:22.000","Jun 20, 2020 @ 14:45:22.000",EVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:21.000","Jun 20, 2020 @ 14:45:21.000",Dlbk1HIBxLQmqGLLs2PB,410,"195.54.160.135",,"1.1","/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php",301,Other,Chrome,Windows,GET,Windows
"Jun 20, 2020 @ 14:45:21.000","Jun 20, 2020 @ 14:45:21.000",D1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:21.000","Jun 20, 2020 @ 14:45:21.000",EFbk1HIBxLQmqGLLs2PB,"15,003","195.54.160.135",,"1.1","/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php",404,Other,Chrome,Windows,GET,Windows
